RA,ano_pesquisa,fase,fase_ideal,defasagem,turma,genero,ano_nascimento,idade,ano_ingresso,rede_ensino,pedra_atual,pedra_ano_anterior,inde,inde_ano_anterior,iaa,ieg,ips,ipp,ida,ipv,ian,n_avaliacoes,indicado_bolsa,atingiu_pv,tempo_na_associacao,categoria_defasagem
RA-1,2022,7,8,-1,A,Feminino,2003,19,2016,Pública,Quartzo,Ametista,5.783,,8.3,4.1,5.6,,4.0,7.278,5.0,4.0,Sim,Não,6.0,Moderada
RA-2,2022,7,7,0,A,Feminino,2005,17,2017,Privada,Ametista,Ametista,7.055,,8.8,5.2,6.3,,6.8,6.778,10.0,4.0,Não,Não,5.0,Em fase
RA-3,2022,7,7,0,A,Feminino,2005,17,2016,Privada,Agata,Ametista,6.591,,0.0,7.9,5.6,,5.6,7.556,10.0,4.0,Não,Não,6.0,Em fase
RA-4,2022,7,7,0,A,Masculino,2005,17,2017,Privada,Quartzo,Ametista,5.951,,8.8,4.5,5.6,,5.0,5.278,10.0,4.0,Não,Não,5.0,Em fase
RA-5,2022,7,7,0,A,Feminino,2005,17,2016,Privada,Ametista,Ametista,7.427,,7.9,8.6,5.6,,5.2,7.389,10.0,4.0,Não,Não,6.0,Em fase
RA-6,2022,7,8,-1,A,Feminino,2004,18,2021,Pública,Quartzo,Agata,5.848,,7.9,4.5,7.5,,3.3,7.222,5.0,4.0,Sim,Não,1.0,Moderada
RA-7,2022,7,8,-1,A,Masculino,2004,18,2017,Privada,Agata,Ametista,6.818,,0.0,8.4,7.5,,7.6,7.667,5.0,4.0,Não,Não,5.0,Moderada
RA-8,2022,7,8,-1,A,Feminino,2002,20,2018,Pública,Quartzo,Agata,4.786,,7.1,4.6,6.3,,1.6,6.278,5.0,4.0,Não,Não,4.0,Moderada
RA-9,2022,7,8,-1,A,Feminino,2004,18,2019,Pública,Topazio,Ametista,8.109,,8.8,9.5,7.5,,6.7,9.5,5.0,4.0,Sim,Sim,3.0,Moderada
RA-10,2022,7,8,-1,A,Feminino,2004,18,2021,Pública,Quartzo,Agata,5.784,,8.3,5.2,5.0,,4.1,7.056,5.0,4.0,Não,Não,1.0,Moderada
RA-11,2022,7,8,-1,A,Feminino,2004,18,2016,Pública,Quartzo,Agata,5.323,,9.2,4.2,5.0,,3.0,6.389,5.0,4.0,Não,Não,6.0,Moderada
RA-12,2022,7,7,0,A,Feminino,2005,17,2020,Pública,Quartzo,Agata,4.832,,0.0,4.0,6.9,,1.5,6.389,10.0,4.0,Sim,Não,2.0,Em fase
RA-13,2022,7,8,-1,A,Masculino,2004,18,2016,Pública,Agata,Ametista,6.902,,7.9,7.4,7.5,,4.7,8.056,5.0,4.0,Sim,Não,6.0,Moderada
RA-14,2022,7,8,-1,D,Masculino,2001,21,2022,Pública,Agata,,6.793,,7.9,8.3,7.5,,4.0,7.75,5.0,4.0,Sim,Não,0.0,Moderada
RA-15,2022,7,8,-1,D,Masculino,2004,18,2022,Pública,Ametista,,7.783,,8.8,10.0,7.5,,7.3,7.292,5.0,4.0,Sim,Não,0.0,Moderada
RA-16,2022,7,8,-1,D,Masculino,2003,19,2022,Pública,Agata,,6.112,,7.9,8.3,5.0,,3.5,6.333,5.0,4.0,Sim,Não,0.0,Moderada
RA-17,2022,7,8,-1,D,Masculino,2002,20,2022,Pública,Topazio,,8.068,,8.8,10.0,7.5,,7.8,8.292,5.0,4.0,Sim,Não,0.0,Moderada
RA-18,2022,7,8,-1,D,Masculino,2003,19,2022,Pública,Ametista,,7.226,,6.3,8.7,6.3,,9.0,6.875,5.0,4.0,Sim,Não,0.0,Moderada
RA-19,2022,7,8,-1,D,Feminino,2003,19,2022,Pública,Ametista,,7.665,,7.9,9.5,7.5,,8.0,7.0,5.0,4.0,Sim,Não,0.0,Moderada
RA-20,2022,7,8,-1,D,Feminino,2003,19,2022,Pública,Ametista,,7.535,,7.1,10.0,6.3,,7.8,7.167,5.0,4.0,Sim,Não,0.0,Moderada
RA-21,2022,7,8,-1,D,Masculino,2004,18,2022,Pública,Agata,,6.945,,9.6,9.2,7.5,,3.8,7.25,5.0,4.0,Sim,Não,0.0,Moderada
